system,repetition,model,scenarios,tp,fp,fn,precision,recall,f1,false_reminders,negative_checkpoints,false_alarm_checkpoints,false_alarm_rate,obsolete_errors,obsolete_trap_rate,provenance_exact_accuracy,invalid_outputs,input_tokens,output_tokens,decision_input_tokens,compiler_input_tokens,embedding_inputs,embedding_characters,input_token_reduction_vs_full_context,cost_usd,usage_complete,cost_complete,latency_p50_ms,latency_p95_ms,total_latency_ms,decision_latency_ms,compiler_latency_ms,local_latency_ms,setup_latency_ms
anamnesis,1,ollama/qwen3:4b-instruct,10,0,7,8,0.0,0.0,0.0,7,70,6,0.085714,0,0.0,,2,95282,8435,55585,39697,0,0,-0.192187,0.0,True,True,19157.837250473676,33991.89358747679,1326622.1456678468,355304.8014656524,971119.4896660745,124.90216764854267,18648.144541948568
full_context,1,ollama/qwen3:4b-instruct,10,0,0,8,0.0,0.0,0.0,0,70,0,0.0,0,0.0,,0,79922,1286,79922,0,0,0,0.0,0.0,True,True,6661.135312489932,13589.745096396646,557874.6780899819,557841.478212038,0.0,0.0,18856.425834062975
no_memory,1,ollama/qwen3:4b-instruct,10,0,0,8,0.0,0.0,0.0,0,70,0,0.0,0,0.0,,0,53010,956,53010,0,0,0,0.336728,0.0,True,True,1333.5608960187528,4200.883910665287,126980.0139957224,126964.10554216709,0.0,0.0,6247.122666973155
vector_rag,1,ollama/qwen3:4b-instruct,10,0,0,8,0.0,0.0,0.0,0,70,0,0.0,0,0.0,,0,67610,1271,67610,0,199,18988,0.15405,0.0,True,True,4926.868103502784,6523.858148162249,384715.8953283797,382366.6085447185,0.0,2314.7878377349116,29402.39854209358
